,price,longitude,latitude,neighborhood
1432,1000,-74.074438,40.727112,None
1433,1200,-73.990764,40.760988,Clinton
1434,775,-73.909173,40.703688,Ridgewood
1435,1300,-73.988636,40.759493,Clinton
1436,850,-73.8961,40.7036,Ridgewood
1437,1015,-73.955763,40.648643,Erasmus
1438,1475,-73.9371,40.8011,None
1439,1400,-73.9563,40.7095,North_Side_South_Side
1440,1400,-73.9436,40.7012,Bedford
1441,880,-73.959758,40.675756,Crown_Heights_North
1442,1200,-73.965411,40.678848,Prospect_Heights
1443,1055,-73.9983,40.7255,SoHo_TriBeCa_Civic_Center_Little_Italy
1444,1200,-73.9683,40.7975,Upper_West_Side
1445,825,-73.90803299999997,40.704733,Ridgewood
1446,1200,-73.89399999999999,40.6705,East_New_York__Pennsylvania_Ave_
1447,1200,-73.89399999999999,40.6705,East_New_York__Pennsylvania_Ave_
1448,1150,-73.926547,40.687486,Stuyvesant_Heights
1449,600,-74.1192,40.6664,None
1450,1050,-73.9546,40.6628,Prospect_Lefferts_Gardens_Wingate
1451,700,-73.857461,40.678385,Ozone_Park
1452,950,-73.91345,40.689914,Bushwick_South
1453,685,-73.7588,40.7428,Oakland_Gardens
1454,750,-73.8961,40.7036,Ridgewood
1455,1350,-73.991734,40.666736,Park_Slope_Gowanus
1456,800,-73.8602,40.8434,Van_Nest_Morris_Park_Westchester_Square
1457,700,-73.9069,40.745,Woodside
1458,650,-73.9069,40.745,Woodside
1459,805,-73.923397,40.669214,Crown_Heights_North
1460,1350,-73.990785,40.666319,Park_Slope_Gowanus
1461,1400,-73.959861,40.655635,Prospect_Lefferts_Gardens_Wingate
1462,1080,-73.977427,40.659578,Windsor_Terrace
1463,900,-73.6277,40.865,None
1464,1200,-73.92065699999998,40.690927,Bushwick_South
1465,1050,-73.93978100000002,40.691453,Stuyvesant_Heights
1466,950,-73.9274,40.6907,Stuyvesant_Heights
1467,950,-73.962068,40.653949,Flatbush
1468,1350,-73.9274,40.6907,Stuyvesant_Heights
1469,1172,-73.9496,40.6794,Crown_Heights_North
1470,800,-73.99535,40.607399,Bensonhurst_West
1471,600,-74.0208,40.7681,None
1472,850,-73.9436,40.7012,Bedford
1473,3500,-74.0054,40.7339,West_Village
1474,850,-73.935661,40.690932,Stuyvesant_Heights
1475,1100,-73.956007,40.693899,Bedford
1476,780,-73.7353,40.6621,Rosedale
1477,850,-73.956007,40.693899,Bedford
1478,650,-73.9367,40.67,Crown_Heights_North
1479,1800,-73.9683,40.7975,Upper_West_Side
1480,1150,-73.9758,40.6424,Kensington_Ocean_Parkway
1481,700,-73.9345,40.7446,Hunters_Point_Sunnyside_West_Maspeth
1482,760,-73.953795,40.637743,Flatbush
1483,900,-73.919106,40.684422,Stuyvesant_Heights
1484,1425,-73.9507,40.8246,Hamilton_Heights
1485,2000,-73.991125,40.724403,East_Village
1486,914,-73.920822,40.762179,Astoria
1487,600,-73.7845,41.135,None
1488,695,-73.9507,40.8246,Hamilton_Heights
